#{"t_start": 1768816883.760797, "env_id": null}
r,l,t
681.0,3428,355.933541
530.0,3828,360.466774
852.0,4770,685.899745
1193.0,5585,696.064085
1327.0,3166,1022.360007
1328.0,2256,1028.284147
1754.0,4193,1040.422386
1390.0,3040,1361.321548
2780.0,2992,1378.347675
1841.0,1981,1698.487981
1961.0,1041,1704.441498
2749.0,4705,1707.157976
450.0,594,1711.263718
1984.0,3909,1714.455108
1606.0,1396,1716.047393
942.0,522,1718.035493
1770.0,1260,2046.91701
1363.0,1271,2049.044192
1860.0,2343,2051.298745
2421.0,2295,2058.955107
2343.0,2106,2395.99005
2764.0,2422,2397.30371
2103.0,3005,2402.527289
3923.0,2243,2727.950961
1957.0,828,2730.62357
1504.0,1095,2732.370204
892.0,505,2737.567557
2200.0,1202,2740.708713
2241.0,894,2743.896044
1752.0,943,2749.505149
2758.0,1692,2749.692221
2338.0,1122,3073.978198
2623.0,1317,3080.224445
1459.0,938,3080.703053
1504.0,771,3083.664062
3443.0,1392,3085.640881
2378.0,959,3092.743154
1707.0,828,3094.224669
2615.0,1333,3096.53213
2629.0,1010,3405.412802
1779.0,747,3408.123209
1755.0,735,3409.392292
1004.0,622,3413.067885
2146.0,862,3413.906795
1106.0,500,3415.750248
2208.0,1043,3423.994291
1379.0,846,3424.621405
2250.0,1024,3424.643878
1512.0,697,3751.462135
1369.0,730,3751.86997
2700.0,1026,3754.543006
1751.0,744,3760.383777
1151.0,543,3760.764941
1871.0,982,3762.75037
2433.0,974,4076.762863
2077.0,779,4085.620789
2060.0,1773,4088.15588
1458.0,727,4093.921331
974.0,843,4097.771741
3637.0,6182,4416.735764
1790.0,798,4417.192872
3757.0,3547,4420.61166
1828.0,743,4425.177116
2161.0,961,4428.114334
1942.0,706,4429.524208
1560.0,750,4750.864116
1874.0,720,4751.055686
2428.0,1015,4762.587657
2652.0,1070,4763.023861
2370.0,873,4773.366081
2360.0,1106,5090.435406
2434.0,3206,5090.695795
1896.0,685,5098.952497
2045.0,1040,5099.900128
3262.0,5217,5101.066765
1483.0,659,5109.323586
2149.0,917,5110.134571
2408.0,1086,5112.990871
1370.0,607,5431.31581
1785.0,701,5431.561181
2207.0,895,5437.428281
1530.0,663,5438.800973
1459.0,701,5439.481531
2417.0,3301,5443.92012
1468.0,614,5444.380082
983.0,534,5444.85614
1370.0,720,5766.223224
3443.0,1113,5770.244521
967.0,1735,5772.838352
489.0,421,5774.989129
1730.0,903,5776.451809
3321.0,2230,5783.814687
2781.0,1149,6103.349158
1068.0,1282,6103.394176
2125.0,907,6107.960748
2290.0,794,6112.411191
2423.0,820,6112.656284
